Species,Sample,Number of cells
Pedilanthus bracteatus,845,49
Pedilanthus bracteatus,845,19
Pedilanthus bracteatus,845,164
Pedilanthus bracteatus,845,145
Pedilanthus bracteatus,845,83
Pedilanthus bracteatus,845,65
Pedilanthus bracteatus,845,33
Pedilanthus bracteatus,845,74
Pedilanthus bracteatus,845,90
Pedilanthus bracteatus,845,66
Pedilanthus bracteatus,845,17
Pedilanthus bracteatus,845,125
Pedilanthus bracteatus,845,41
Pedilanthus bracteatus,845,10
Pedilanthus bracteatus,845,171
Pedilanthus bracteatus,845,88
Pedilanthus bracteatus,845,56
Pedilanthus bracteatus,845,8
Pedilanthus bracteatus,845,26
Pedilanthus bracteatus,845,111
Pedilanthus bracteatus,845,35
Pedilanthus bracteatus,845,67
Pedilanthus bracteatus,845,75
Pedilanthus bracteatus,845,54
Pedilanthus bracteatus,845,151
Pedilanthus bracteatus,845,43
Pedilanthus bracteatus,845,96
Pedilanthus bracteatus,845,54
Pedilanthus bracteatus,845,150
Pedilanthus bracteatus,845,121
Pedilanthus bracteatus,845,93
Pedilanthus bracteatus,845,75
Pedilanthus bracteatus,845,148
Pedilanthus bracteatus,845,157
Pedilanthus bracteatus,845,93
Pedilanthus bracteatus,845,77
Pedilanthus bracteatus,845,155
Pedilanthus bracteatus,845,79
Pedilanthus bracteatus,845,4
Pedilanthus bracteatus,845,59
Pedilanthus bracteatus,845,159
Pedilanthus bracteatus,845,32
Pedilanthus bracteatus,845,21
Pedilanthus bracteatus,845,56
Pedilanthus bracteatus,845,154
Pedilanthus bracteatus,845,133
Pedilanthus bracteatus,845,60
Pedilanthus bracteatus,845,55
Pedilanthus bracteatus,845,144
Pedilanthus bracteatus,845,99
Pedilanthus bracteatus,845,141
Pedilanthus bracteatus,845,124
Pedilanthus bracteatus,845,78
Pedilanthus bracteatus,845,153
Pedilanthus bracteatus,845,6
Pedilanthus bracteatus,845,120
Pedilanthus bracteatus,845,51
Pedilanthus bracteatus,845,123
Pedilanthus bracteatus,845,33
Pedilanthus bracteatus,845,67
Pedilanthus bracteatus,845,65
Pedilanthus bracteatus,845,152
Pedilanthus bracteatus,845,22
Pedilanthus bracteatus,845,172
Pedilanthus bracteatus,845,64
Pedilanthus bracteatus,845,67
Pedilanthus bracteatus,845,95
Pedilanthus bracteatus,845,177
Pedilanthus bracteatus,845,76
Pedilanthus bracteatus,845,163
Pedilanthus bracteatus,845,10
Pedilanthus bracteatus,845,55
Pedilanthus bracteatus,845,27
Pedilanthus bracteatus,845,127
Pedilanthus bracteatus,845,68
Pedilanthus bracteatus,845,173
Pedilanthus bracteatus,845,174
Pedilanthus bracteatus,845,173
Pedilanthus bracteatus,845,76
Pedilanthus bracteatus,845,172
Pedilanthus bracteatus,845,115
Pedilanthus bracteatus,845,151
Pedilanthus bracteatus,845,86
Pedilanthus bracteatus,845,79
Pedilanthus bracteatus,845,189
Pedilanthus bracteatus,845,65
Pedilanthus bracteatus,845,87
Pedilanthus bracteatus,845,187
Pedilanthus bracteatus,845,95
Pedilanthus bracteatus,845,85
Pedilanthus bracteatus,845,127
Pedilanthus bracteatus,845,105
Pedilanthus bracteatus,845,90
Pedilanthus bracteatus,845,29
Pedilanthus bracteatus,845,12
Pedilanthus bracteatus,845,159
Pedilanthus bracteatus,845,53
Pedilanthus bracteatus,845,139
Pedilanthus bracteatus,845,64
Pedilanthus bracteatus,845,47
Pedilanthus bracteatus,845,29
Pedilanthus bracteatus,845,174
Pedilanthus bracteatus,845,147
Pedilanthus bracteatus,845,92
Pedilanthus bracteatus,845,22
Pedilanthus bracteatus,845,160
Pedilanthus bracteatus,845,1
Pedilanthus bracteatus,845,75
Pedilanthus bracteatus,845,88
Pedilanthus bracteatus,845,151
Pedilanthus bracteatus,845,17
Pedilanthus bracteatus,845,117
Pedilanthus bracteatus,845,18
Pedilanthus bracteatus,845,96
Pedilanthus bracteatus,845,49
Pedilanthus bracteatus,845,123
Pedilanthus bracteatus,845,184
Pedilanthus bracteatus,845,61
Pedilanthus bracteatus,845,111
Pedilanthus bracteatus,845,163
Pedilanthus bracteatus,845,121
Pedilanthus bracteatus,845,87
Pedilanthus bracteatus,845,97
Pedilanthus bracteatus,845,166
Pedilanthus bracteatus,845,51
Pedilanthus bracteatus,845,147
Pedilanthus bracteatus,845,109
Pedilanthus bracteatus,845,77
Pedilanthus bracteatus,845,180
Pedilanthus bracteatus,845,101
Pedilanthus bracteatus,845,144
Pedilanthus bracteatus,845,144
Pedilanthus bracteatus,845,96
Pedilanthus bracteatus,845,181
Pedilanthus bracteatus,845,42
Pedilanthus bracteatus,845,54
Pedilanthus bracteatus,845,180
Pedilanthus bracteatus,845,29
Pedilanthus bracteatus,845,183
